target,model,feature,standardized_coefficient,absolute_standardized_coefficient,importance_rank
target_pulse_power_proxy_vs_25c,lasso_core,pulse_1c_charge_median_polarization_1s_mohm,0.0,0.0,11
target_pulse_power_proxy_vs_25c,linear_core,is_sodium_ion,-10.926338865561412,10.926338865561412,1
target_pulse_power_proxy_vs_25c,linear_core,bol_thermal_discharge_mean_temperature_rise_max_k,8.869173192420485,8.869173192420485,2
target_pulse_power_proxy_vs_25c,linear_core,pulse_1c_charge_median_r_fast_mohm,-5.809280536241001,5.809280536241001,3
target_pulse_power_proxy_vs_25c,linear_core,ocv_slope_discharge_ocv_slope_penalty_v,4.54526838858875,4.54526838858875,4
target_pulse_power_proxy_vs_25c,linear_core,pulse_1c_discharge_median_r_fast_mohm,4.16307994127379,4.16307994127379,5
target_pulse_power_proxy_vs_25c,linear_core,entropy_discharge_mean_abs_dudt_mv_per_k,-3.007534490951254,3.007534490951254,6
target_pulse_power_proxy_vs_25c,linear_core,pulse_1c_charge_median_polarization_1s_mohm,0.583469540863959,0.583469540863959,7
target_pulse_power_proxy_vs_25c,linear_core,discharge_capacity_retention_vs_25c,-0.4043595191564302,0.4043595191564302,8
target_pulse_power_proxy_vs_25c,linear_core,charge_capacity_retention_vs_25c,0.2387567792510823,0.2387567792510823,9
target_pulse_power_proxy_vs_25c,linear_core,pulse_1c_discharge_median_polarization_1s_mohm,0.20979498133456964,0.20979498133456964,10
target_pulse_power_proxy_vs_25c,linear_core,temperature_deg_c,-0.041998274799708676,0.041998274799708676,11
target_pulse_power_proxy_vs_25c,ridge_core,temperature_deg_c,0.22690453706145444,0.22690453706145444,1
target_pulse_power_proxy_vs_25c,ridge_core,entropy_discharge_mean_abs_dudt_mv_per_k,-0.20271134175938849,0.20271134175938849,2
target_pulse_power_proxy_vs_25c,ridge_core,bol_thermal_discharge_mean_temperature_rise_max_k,0.18253735852463582,0.18253735852463582,3
target_pulse_power_proxy_vs_25c,ridge_core,pulse_1c_charge_median_r_fast_mohm,-0.15994946835883025,0.15994946835883025,4
target_pulse_power_proxy_vs_25c,ridge_core,pulse_1c_discharge_median_r_fast_mohm,-0.15767336640946356,0.15767336640946356,5
target_pulse_power_proxy_vs_25c,ridge_core,is_sodium_ion,0.15095005497593356,0.15095005497593356,6
target_pulse_power_proxy_vs_25c,ridge_core,pulse_1c_discharge_median_polarization_1s_mohm,0.11848819464735129,0.11848819464735129,7
target_pulse_power_proxy_vs_25c,ridge_core,discharge_capacity_retention_vs_25c,0.06498027999396504,0.06498027999396504,8
target_pulse_power_proxy_vs_25c,ridge_core,pulse_1c_charge_median_polarization_1s_mohm,-0.05725633885203432,0.05725633885203432,9
target_pulse_power_proxy_vs_25c,ridge_core,ocv_slope_discharge_ocv_slope_penalty_v,-0.05593428112193146,0.05593428112193146,10
target_pulse_power_proxy_vs_25c,ridge_core,charge_capacity_retention_vs_25c,-0.026004570553265546,0.026004570553265546,11
target_pulse_r_1s_growth_vs_25c,lasso_core,bol_thermal_discharge_mean_temperature_rise_max_k,-0.3196955094809641,0.3196955094809641,1
target_pulse_r_1s_growth_vs_25c,lasso_core,pulse_1c_charge_median_r_fast_mohm,0.281301278478668,0.281301278478668,2
target_pulse_r_1s_growth_vs_25c,lasso_core,pulse_1c_discharge_median_polarization_1s_mohm,0.24277291520473301,0.24277291520473301,3
target_pulse_r_1s_growth_vs_25c,lasso_core,entropy_discharge_mean_abs_dudt_mv_per_k,0.21462788713147685,0.21462788713147685,4
target_pulse_r_1s_growth_vs_25c,lasso_core,temperature_deg_c,-0.20459161471805482,0.20459161471805482,5
target_pulse_r_1s_growth_vs_25c,lasso_core,ocv_slope_discharge_ocv_slope_penalty_v,0.09665257185268494,0.09665257185268494,6
target_pulse_r_1s_growth_vs_25c,lasso_core,discharge_capacity_retention_vs_25c,-0.05177950295904878,0.05177950295904878,7
target_pulse_r_1s_growth_vs_25c,lasso_core,pulse_1c_charge_median_polarization_1s_mohm,0.011332707159305897,0.011332707159305897,8
target_pulse_r_1s_growth_vs_25c,lasso_core,is_sodium_ion,-0.0,0.0,9
target_pulse_r_1s_growth_vs_25c,lasso_core,charge_capacity_retention_vs_25c,-0.0,0.0,10
target_pulse_r_1s_growth_vs_25c,lasso_core,pulse_1c_discharge_median_r_fast_mohm,0.0,0.0,11
target_pulse_r_1s_growth_vs_25c,linear_core,is_sodium_ion,-24.63542920026265,24.63542920026265,1
target_pulse_r_1s_growth_vs_25c,linear_core,bol_thermal_discharge_mean_temperature_rise_max_k,17.9309502493977,17.9309502493977,2
target_pulse_r_1s_growth_vs_25c,linear_core,ocv_slope_discharge_ocv_slope_penalty_v,10.38098839720057,10.38098839720057,3
target_pulse_r_1s_growth_vs_25c,linear_core,entropy_discharge_mean_abs_dudt_mv_per_k,-5.006953202018769,5.006953202018769,4
target_pulse_r_1s_growth_vs_25c,linear_core,pulse_1c_charge_median_r_fast_mohm,2.3708419247273547,2.3708419247273547,5
target_pulse_r_1s_growth_vs_25c,linear_core,pulse_1c_discharge_median_r_fast_mohm,-2.1962533832260167,2.1962533832260167,6
target_pulse_r_1s_growth_vs_25c,linear_core,discharge_capacity_retention_vs_25c,-1.1875961605293774,1.1875961605293774,7
target_pulse_r_1s_growth_vs_25c,linear_core,pulse_1c_discharge_median_polarization_1s_mohm,-0.5879534398142319,0.5879534398142319,8
target_pulse_r_1s_growth_vs_25c,linear_core,temperature_deg_c,-0.2479457904438982,0.2479457904438982,9
target_pulse_r_1s_growth_vs_25c,linear_core,charge_capacity_retention_vs_25c,-0.07260849647528111,0.07260849647528111,10
target_pulse_r_1s_growth_vs_25c,linear_core,pulse_1c_charge_median_polarization_1s_mohm,0.01556086834177961,0.01556086834177961,11
target_pulse_r_1s_growth_vs_25c,ridge_core,temperature_deg_c,-0.2043494317939415,0.2043494317939415,1
target_pulse_r_1s_growth_vs_25c,ridge_core,bol_thermal_discharge_mean_temperature_rise_max_k,-0.1813704042323594,0.1813704042323594,2
target_pulse_r_1s_growth_vs_25c,ridge_core,pulse_1c_discharge_median_polarization_1s_mohm,0.17897337344275485,0.17897337344275485,3
target_pulse_r_1s_growth_vs_25c,ridge_core,entropy_discharge_mean_abs_dudt_mv_per_k,0.14837233238896538,0.14837233238896538,4
target_pulse_r_1s_growth_vs_25c,ridge_core,ocv_slope_discharge_ocv_slope_penalty_v,0.1320555699848927,0.1320555699848927,5
target_pulse_r_1s_growth_vs_25c,ridge_core,discharge_capacity_retention_vs_25c,-0.12102946729437267,0.12102946729437267,6
target_pulse_r_1s_growth_vs_25c,ridge_core,is_sodium_ion,-0.11719359595801265,0.11719359595801265,7
target_pulse_r_1s_growth_vs_25c,ridge_core,pulse_1c_charge_median_r_fast_mohm,0.1081151507181602,0.1081151507181602,8
target_pulse_r_1s_growth_vs_25c,ridge_core,pulse_1c_discharge_median_r_fast_mohm,0.10088749444289608,0.10088749444289608,9
target_pulse_r_1s_growth_vs_25c,ridge_core,pulse_1c_charge_median_polarization_1s_mohm,0.06948741477653186,0.06948741477653186,10
target_pulse_r_1s_growth_vs_25c,ridge_core,charge_capacity_retention_vs_25c,0.0008787634092950102,0.0008787634092950102,11
target_usable_energy_retention_vs_25c,lasso_core,discharge_capacity_retention_vs_25c,0.03919895393719726,0.03919895393719726,1
target_usable_energy_retention_vs_25c,lasso_core,pulse_1c_discharge_median_r_fast_mohm,-0.0007061554681359918,0.0007061554681359918,2
target_usable_energy_retention_vs_25c,lasso_core,temperature_deg_c,0.0,0.0,3
target_usable_energy_retention_vs_25c,lasso_core,is_sodium_ion,-0.0,0.0,4
target_usable_energy_retention_vs_25c,lasso_core,charge_capacity_retention_vs_25c,0.0,0.0,5
target_usable_energy_retention_vs_25c,lasso_core,ocv_slope_discharge_ocv_slope_penalty_v,-0.0,0.0,6
target_usable_energy_retention_vs_25c,lasso_core,pulse_1c_discharge_median_polarization_1s_mohm,-0.0,0.0,7
target_usable_energy_retention_vs_25c,lasso_core,pulse_1c_charge_median_r_fast_mohm,-0.0,0.0,8
target_usable_energy_retention_vs_25c,lasso_core,pulse_1c_charge_median_polarization_1s_mohm,-0.0,0.0,9
target_usable_energy_retention_vs_25c,lasso_core,entropy_discharge_mean_abs_dudt_mv_per_k,-0.0,0.0,10
target_usable_energy_retention_vs_25c,lasso_core,bol_thermal_discharge_mean_temperature_rise_max_k,-0.0,0.0,11
target_usable_energy_retention_vs_25c,linear_core,is_sodium_ion,0.40966706536879993,0.40966706536879993,1
target_usable_energy_retention_vs_25c,linear_core,bol_thermal_discharge_mean_temperature_rise_max_k,-0.31001616679878663,0.31001616679878663,2
target_usable_energy_retention_vs_25c,linear_core,ocv_slope_discharge_ocv_slope_penalty_v,-0.17396608302433134,0.17396608302433134,3
target_usable_energy_retention_vs_25c,linear_core,entropy_discharge_mean_abs_dudt_mv_per_k,0.09183168942994274,0.09183168942994274,4
target_usable_energy_retention_vs_25c,linear_core,discharge_capacity_retention_vs_25c,0.06571055087107562,0.06571055087107562,5
target_usable_energy_retention_vs_25c,linear_core,pulse_1c_discharge_median_r_fast_mohm,0.05753938555910901,0.05753938555910901,6
target_usable_energy_retention_vs_25c,linear_core,pulse_1c_charge_median_r_fast_mohm,-0.037507502310219015,0.037507502310219015,7
target_usable_energy_retention_vs_25c,linear_core,pulse_1c_charge_median_polarization_1s_mohm,-0.018385611052870315,0.018385611052870315,8
target_usable_energy_retention_vs_25c,linear_core,pulse_1c_discharge_median_polarization_1s_mohm,0.01659351619750357,0.01659351619750357,9
target_usable_energy_retention_vs_25c,linear_core,charge_capacity_retention_vs_25c,-0.0033390600399141324,0.0033390600399141324,10
target_usable_energy_retention_vs_25c,linear_core,temperature_deg_c,0.0024598646378165825,0.0024598646378165825,11
target_usable_energy_retention_vs_25c,ridge_core,discharge_capacity_retention_vs_25c,0.03039240559466655,0.03039240559466655,1
target_usable_energy_retention_vs_25c,ridge_core,pulse_1c_discharge_median_polarization_1s_mohm,-0.005806432595212314,0.005806432595212314,2
target_usable_energy_retention_vs_25c,ridge_core,entropy_discharge_mean_abs_dudt_mv_per_k,-0.0036174812178321226,0.0036174812178321226,3
target_usable_energy_retention_vs_25c,ridge_core,pulse_1c_discharge_median_r_fast_mohm,-0.0031784238147622417,0.0031784238147622417,4
target_usable_energy_retention_vs_25c,ridge_core,pulse_1c_charge_median_polarization_1s_mohm,-0.0029303069639941563,0.0029303069639941563,5
target_usable_energy_retention_vs_25c,ridge_core,ocv_slope_discharge_ocv_slope_penalty_v,-0.002509927555260871,0.002509927555260871,6
target_usable_energy_retention_vs_25c,ridge_core,pulse_1c_charge_median_r_fast_mohm,-0.0024821909884979536,0.0024821909884979536,7
target_usable_energy_retention_vs_25c,ridge_core,charge_capacity_retention_vs_25c,-0.0019091874332604372,0.0019091874332604372,8
target_usable_energy_retention_vs_25c,ridge_core,bol_thermal_discharge_mean_temperature_rise_max_k,0.0015658677553055163,0.0015658677553055163,9
target_usable_energy_retention_vs_25c,ridge_core,temperature_deg_c,0.0006052055628883227,0.0006052055628883227,10
target_usable_energy_retention_vs_25c,ridge_core,is_sodium_ion,-0.0002175660959190844,0.0002175660959190844,11
