member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,n_points,freq_min_hz,freq_max_hz,n_voigt_elements,mu,max_abs_residual_real,max_abs_residual_imag,max_abs_residual,rms_residual,worst_residual_freq_hz,worst_residual_at_frequency_extreme,kk_consistent
raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3676mV_25gradC_EIS.csv,20231113_TC23NMC04_3676mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.676,32,0.05,10000.0,9,0.8499322166346771,0.013423332541239093,0.013738719313729678,0.013738719313729678,0.00525498292868396,0.1,True,True
raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3794mV_27gradC_EIS.csv,20231113_TC23NMC04_3794mV_27gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,27.0,3.794,32,0.05,10000.0,11,0.8670900953502538,0.004813801852858344,0.005705582064372862,0.005705582064372862,0.002360394672881117,0.1,True,True
raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3854mV_26gradC_EIS.csv,20231113_TC23NMC04_3854mV_26gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,26.0,3.854,32,0.05,10000.0,13,0.8821811719516504,0.0017270382309858524,0.004917587438911772,0.004917587438911772,0.0012199533364958385,6745.25,True,True
raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3900mV_25gradC_EIS.csv,20231113_TC23NMC04_3900mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.9,32,0.05,10000.0,11,0.8616706251974953,0.008240052344994498,0.007777290430951881,0.008240052344994498,0.003185785492966821,0.15,False,True
raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3980mV_25gradC_EIS.csv,20231113_TC23NMC04_3980mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.98,32,0.05,10000.0,9,0.8043308060105062,0.01874190976279817,0.019485906345288594,0.019485906345288594,0.0075075431013782315,0.1,True,True
raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_4037mV_25gradC_EIS.csv,20231113_TC23NMC04_4037mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,4.037,32,0.05,10000.0,11,0.8543093801042793,0.010739013898649298,0.010128365015485467,0.010739013898649298,0.003977787754127732,0.15,False,True
raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_4078mV_24gradC_EIS.csv,20231113_TC23NMC04_4078mV_24gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,24.0,4.078,32,0.05,10000.0,14,0.879000066016752,0.0030753682693027517,0.0047472540702287935,0.0047472540702287935,0.0017695995357718045,6745.25,True,True
raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_4240mV_25gradC_EIS.csv,20231113_TC23NMC04_4240mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,4.24,32,0.05,10000.0,13,0.9140178291730892,0.002658094471904737,0.00471212018432966,0.00471212018432966,0.0015376514952885017,6745.25,True,True
raw_EIS_plotting/TC23SIB03/auxiliary/20231113_TC23SIB03_2099mV_25gradC_EIS.csv,20231113_TC23SIB03_2099mV_25gradC_EIS.csv,TC23SIB03,SIB,sodium-ion,25.0,2.099,32,0.05,10000.0,12,0.9928736410697374,0.00900842537653492,0.011265169165157745,0.011265169165157745,0.003584646349113573,0.25,False,True
raw_EIS_plotting/TC23SIB03/auxiliary/20231113_TC23SIB03_2274mV_25gradC_EIS.csv,20231113_TC23SIB03_2274mV_25gradC_EIS.csv,TC23SIB03,SIB,sodium-ion,25.0,2.274,32,0.05,10000.0,12,0.9446094957235573,0.010755895490172643,0.009657044213277236,0.010755895490172643,0.004077256805976954,0.15,False,True
raw_EIS_plotting/TC23SIB03/auxiliary/20231113_TC23SIB03_2652mV_25gradC_EIS.csv,20231113_TC23SIB03_2652mV_25gradC_EIS.csv,TC23SIB03,SIB,sodium-ion,25.0,2.652,32,0.05,10000.0,10,0.7936540901285285,0.0202458696851329,0.01632217452161357,0.0202458696851329,0.007324886063003838,0.15,False,True
raw_EIS_plotting/TC23SIB03/auxiliary/20231113_TC23SIB03_2783mV_25gradC_EIS.csv,20231113_TC23SIB03_2783mV_25gradC_EIS.csv,TC23SIB03,SIB,sodium-ion,25.0,2.783,32,0.05,10000.0,12,0.8328791147566418,0.013805177530316343,0.011974157411414998,0.013805177530316343,0.005014266316887442,0.15,False,True
raw_EIS_plotting/TC23SIB03/auxiliary/20231113_TC23SIB03_2903mV_27gradC_EIS.csv,20231113_TC23SIB03_2903mV_27gradC_EIS.csv,TC23SIB03,SIB,sodium-ion,27.0,2.903,32,0.05,10000.0,14,0.9589409229126744,0.0048396561568264515,0.004057139700339494,0.0048396561568264515,0.0019211295139451609,0.15,False,True
raw_EIS_plotting/TC23SIB03/auxiliary/20231113_TC23SIB03_3082mV_26gradC_EIS.csv,20231113_TC23SIB03_3082mV_26gradC_EIS.csv,TC23SIB03,SIB,sodium-ion,26.0,3.082,32,0.05,10000.0,12,0.8941275321612715,0.008426478566826,0.008375059221697238,0.008426478566826,0.003403723514334568,0.15,False,True
raw_EIS_plotting/TC23SIB03/auxiliary/20231113_TC23SIB03_3276mV_25gradC_EIS.csv,20231113_TC23SIB03_3276mV_25gradC_EIS.csv,TC23SIB03,SIB,sodium-ion,25.0,3.276,32,0.05,10000.0,12,0.918059602168966,0.007612750658376671,0.00736695953054758,0.007612750658376671,0.0029269177900238825,0.15,False,True
raw_EIS_plotting/TC23SIB03/auxiliary/20231113_TC23SIB03_3459mV_25gradC_EIS.csv,20231113_TC23SIB03_3459mV_25gradC_EIS.csv,TC23SIB03,SIB,sodium-ion,25.0,3.459,32,0.05,10000.0,12,0.9309785113623836,0.006430377340329315,0.006325164456758067,0.006430377340329315,0.0026327581373884073,0.15,False,True
raw_EIS_plotting/TC23SIB03/auxiliary/20231113_TC23SIB03_3639mV_25gradC_EIS.csv,20231113_TC23SIB03_3639mV_25gradC_EIS.csv,TC23SIB03,SIB,sodium-ion,25.0,3.639,32,0.05,10000.0,14,0.9503704964079643,0.004268511005926688,0.003357513190623186,0.004268511005926688,0.0016705828545583322,0.15,False,True
raw_EIS_plotting/TC23SIB03/auxiliary/20231113_TC23SIB03_4083mV_25gradC_EIS.csv,20231113_TC23SIB03_4083mV_25gradC_EIS.csv,TC23SIB03,SIB,sodium-ion,25.0,4.083,32,0.05,10000.0,9,0.9291466802809539,0.05696630868807847,0.04882213764652457,0.05696630868807847,0.020233935449049466,0.15,False,False
